"Path","Category","ReferenceCount","Confidence","SuggestedAction","Reason"
"../.docs/reference/.docs/agent-routing-guide.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/agents/architecture-designer.agent.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/agents/defect-debugger.agent.md.ref.md","generated-ref-snapshot","3","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/agents/orchestrator.agent.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/agents/performance-assessor.agent.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/agents/plan-researcher.agent.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/agents/security-researcher.agent.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/agents/workspace-scaffolder.agent.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/copilot-instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/architecture.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/async-programming.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/csharp.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/documentation-and-specifications.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/github-actions-ci-cd-best-practices.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/powershell.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/product-specification-and-prd.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/security-and-secure-coding.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/syrx.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/task-implementation.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/testing-strategy.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/instructions/validation-and-guards.instructions.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/prompts/performance-research.prompt.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/prompts/security-research.prompt.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/prompts/syrx-validation.prompt.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/prompts/testing-xunit.prompt.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/prompts/workspace-scaffolder.prompt.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/adr-generator/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/api-design/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/critical-thinking/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/dotnet-refactor/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/performance-research/references/performance-research-report-template.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/performance-research/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/prd-generator/references/prd-template.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/prd-generator/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/security-research/references/security-research-report-template.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/security-research/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/syrx-data-access/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/task-research/references/research-template.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/task-research/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/technical-documentation/references/coverage-report-template.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/technical-documentation/references/documentation-index-template.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/technical-documentation/references/technical-api-page-template.md.ref.md","generated-ref-snapshot","2","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
"../.docs/reference/.github/skills/technical-documentation/SKILL.md.ref.md","generated-ref-snapshot","20","medium","keep","Generated snapshot from reference inventory flow; often superseded after taxonomy or naming migrations."
