"skill","plugins","assigned"
"acceptance-criteria","planning-strategy-design","True"
"acceptance-governance","governance-review-audit","True"
"adr-generator","planning-strategy-design","True"
"agent-authoring","plugin-authoring-lifecycle","True"
"agent-plugin-design","plugin-authoring-lifecycle","True"
"agent-plugin-implementation-extension","plugin-authoring-lifecycle","True"
"agent-plugin-implementation-markdown","plugin-authoring-lifecycle","True"
"agent-plugin-integrity","plugin-authoring-lifecycle","True"
"agent-plugin-publishing","plugin-authoring-lifecycle","True"
"agent-plugin-security-hardening","plugin-authoring-lifecycle","True"
"agent-plugin-setup","plugin-authoring-lifecycle","True"
"agent-plugin-tools-integration","plugin-authoring-lifecycle","True"
"agentic-workflow-patterns","","False"
"analysis-execution","planning-strategy-design","True"
"api-design","dotnet-csharp-engineering","True"
"asset-naming-taxonomy","","False"
"async-programming","dotnet-csharp-engineering","True"
"audit-agent","governance-review-audit","True"
"audit-customization-types","governance-review-audit","True"
"audit-executor","governance-review-audit","True"
"audit-instructions","governance-review-audit","True"
"audit-powershell","governance-review-audit","True"
"audit-prompts","governance-review-audit","True"
"audit-skill","governance-review-audit","True"
"backlog-structuring","planning-strategy-design","True"
"benchmark-baseline-management","performance-security-research","True"
"benchmark-ci-integration","performance-security-research","True"
"benchmark-orchestrator","performance-security-research","True"
"benchmark-profiler-integration","performance-security-research","True"
"benchmark-quality-gate","performance-security-research","True"
"benchmark-source-curation","performance-security-research","True"
"benchmark-statistical-analysis","performance-security-research","True"
"branch-completion","dotnet-csharp-engineering","True"
"build-blazor-web-apps","dotnet-csharp-engineering","True"
"build-maui-apps","dotnet-csharp-engineering; mobile-maui-ux","True"
"build-mobile-apps","mobile-maui-ux","True"
"build-web-frontend","web-frontend-ux","True"
"capacitor-accessibility","capacitor-mobile","True"
"capacitor-auth-session","capacitor-mobile","True"
"capacitor-ci-integration","capacitor-mobile","True"
"capacitor-deep-linking","capacitor-mobile","True"
"capacitor-environment-config","capacitor-mobile","True"
"capacitor-live-updates","capacitor-mobile","True"
"capacitor-migration-upgrades","capacitor-mobile","True"
"capacitor-native-apis","capacitor-mobile","True"
"capacitor-observability","capacitor-mobile","True"
"capacitor-offline-resilience","capacitor-mobile","True"
"capacitor-orchestrator","capacitor-mobile","True"
"capacitor-performance-quality-gate","capacitor-mobile","True"
"capacitor-plugin-authoring","capacitor-mobile","True"
"capacitor-privacy-compliance","capacitor-mobile","True"
"capacitor-push-notifications","capacitor-mobile","True"
"capacitor-release-readiness","capacitor-mobile","True"
"capacitor-security","capacitor-mobile","True"
"capacitor-setup","capacitor-mobile","True"
"capacitor-source-curation","capacitor-mobile","True"
"capacitor-testing","capacitor-mobile","True"
"capacitor-web-integration","capacitor-mobile","True"
